;r1;r2;r3;r4;r5;r6;time;datetime;curr1;curr2;curr3;curr4;curr5;curr6
0;-7428;-4442;0;-2759;-13535;19795;25,832933;2025-09-16 09:44:41.761446;;;;;;
0;-10187;27670;0;-15381;-3054;-27709;31,820762;2025-09-16 09:44:47.748268;0,0;0,0;0,0;0,0;0,0;0,0
0;-14961;-8093;0;21899;-31156;6259;31,850755;2025-09-16 09:44:47.778173;0,0;0,0;0,0;0,0;0,0;0,0
0;-9661;7488;0;4455;9262;8071;31,880751;2025-09-16 09:44:47.808265;0,0;0,0;0,0;0,0;0,0;0,0
0;-14403;-8093;0;21899;-31156;5958;31,911565;2025-09-16 09:44:47.838068;0,0;0,0;0,0;0,0;0,0;0,0
0;-11336;5842;0;5057;11216;7169;31,941562;2025-09-16 09:44:47.868065;0,0;0,0;0,0;0,0;0,0;0,0
0;-13845;-7682;0;22200;-30504;5958;31,97256;2025-09-16 09:44:47.899063;0,0;0,0;0,0;0,0;0,0;0,0
0;-12453;5842;0;5357;11867;6568;32,004377;2025-09-16 09:44:47.931872;0,0;0,0;0,0;0,0;0,0;0,0
0;-13286;-7271;0;22200;-30504;5658;32,035379;2025-09-16 09:44:47.961882;0,0;0,0;0,0;0,0;0,0;0,0
0;-15803;3785;0;6259;13821;5967;32,066381;2025-09-16 09:44:47.992884;0,0;0,0;0,0;0,0;0,0;0,0
0;-16361;3374;0;6560;14472;5366;32,101192;2025-09-16 09:44:48.027695;0,0;0,0;0,0;0,0;0,0;0,0
0;-12170;-6859;0;22200;-29853;5658;32,131198;2025-09-16 09:44:48.057701;0,0;0,0;0,0;0,0;0,0;0,0
0;-18594;1728;0;7462;17078;4464;32,161196;2025-09-16 09:44:48.087699;0,0;0,0;0,0;0,0;0,0;0,0
0;-12170;-6859;0;22501;-29853;5658;32,191294;2025-09-16 09:44:48.117797;0,0;0,0;0,0;0,0;0,0;0,0
0;-20827;494;0;8063;17078;3862;32,22299;2025-09-16 09:44:48.150487;0,0;0,0;0,0;0,0;0,0;0,0
0;-11053;-6859;0;22501;-29202;5658;32,25399;2025-09-16 09:44:48.180493;0,0;0,0;0,0;0,0;0,0;0,0
0;-23060;-740;0;8965;19683;2660;32,285075;2025-09-16 09:44:48.211578;0,0;0,0;0,0;0,0;0,0;0,0
0;-11053;-6448;0;22501;-29853;5357;32,320772;2025-09-16 09:44:48.247275;0,0;0,0;0,0;0,0;0,0;0,0
0;-10495;-6036;0;22200;-29202;5057;32,350774;2025-09-16 09:44:48.277277;0,0;0,0;0,0;0,0;0,0;0,0
0;-25293;-1563;0;9566;20986;1758;32,379785;2025-09-16 09:44:48.306288;0,0;0,0;0,0;0,0;0,0;0,0
0;-9937;-6448;0;22801;-28550;5057;32,411633;2025-09-16 09:44:48.339100;0,0;0,0;0,0;0,0;0,0;0,0
0;-27527;-2797;0;10167;22940;856;32,441614;2025-09-16 09:44:48.368117;0,0;0,0;0,0;0,0;0,0;0,0
0;-9937;-6448;0;22801;-28550;4756;32,472595;2025-09-16 09:44:48.399098;0,0;0,0;0,0;0,0;0,0;0,0
0;-28643;-4031;0;10468;23591;556;32,504411;2025-09-16 09:44:48.431906;0,0;0,0;0,0;0,0;0,0;0,0
0;-9937;-6036;0;22801;-27899;4756;32,535402;2025-09-16 09:44:48.461905;0,0;0,0;0,0;0,0;0,0;0,0
0;-30318;-4442;0;11069;24894;-46;32,566409;2025-09-16 09:44:48.492912;0,0;0,0;0,0;0,0;0,0;0,0
0;-31993;-5265;0;11971;25545;-647;32,598203;2025-09-16 09:44:48.525767;0,0;0,0;0,0;0,0;0,0;0,0
0;-8820;-6036;0;23102;-27899;4756;32,630203;2025-09-16 09:44:48.556706;0,0;0,0;0,0;0,0;0,0;0,0
0;32427;-6088;0;12271;27499;-1248;32,661208;2025-09-16 09:44:48.587711;0,0;0,0;0,0;0,0;0,0;0,0
0;-9378;-6036;0;23102;-27248;4455;32,691303;2025-09-16 09:44:48.617806;0,0;0,0;0,0;0,0;0,0;0,0
0;30752;-6910;0;12572;28150;-1849;32,723004;2025-09-16 09:44:48.650512;0,0;0,0;0,0;0,0;0,0;0,0
0;-8820;-5625;0;23403;-26596;4455;32,754008;2025-09-16 09:44:48.680511;0,0;0,0;0,0;0,0;0,0;0,0
0;30193;-7733;0;12873;29453;-2450;32,785105;2025-09-16 09:44:48.711608;0,0;0,0;0,0;0,0;0,0;0,0
0;-8262;-6036;0;23403;-27248;4455;32,820799;2025-09-16 09:44:48.747302;0,0;0,0;0,0;0,0;0,0;0,0
0;-8820;-6036;0;23403;-26596;4455;32,850792;2025-09-16 09:44:48.777295;0,0;0,0;0,0;0,0;0,0;0,0
0;-8820;-6036;0;23403;-26596;4455;32,880792;2025-09-16 09:44:48.807295;0,0;0,0;0,0;0,0;0,0;0,0
0;-8262;-6036;0;23403;-25945;4155;32,911586;2025-09-16 09:44:48.838089;0,0;0,0;0,0;0,0;0,0;0,0
0;25169;-10613;0;14676;32058;-3954;32,941579;2025-09-16 09:44:48.868082;0,0;0,0;0,0;0,0;0,0;0,0
0;-8820;-6036;0;23703;-25945;3854;32,972571;2025-09-16 09:44:48.900076;0,0;0,0;0,0;0,0;0,0;0,0
0;24611;-10613;0;14676;32710;-4254;33,004374;2025-09-16 09:44:48.930877;0,0;0,0;0,0;0,0;0,0;0,0
0;-8262;-6036;0;23703;-25294;3854;33,035374;2025-09-16 09:44:48.961877;0,0;0,0;0,0;0,0;0,0;0,0
0;24052;-11024;0;14676;32058;-3954;33,066362;2025-09-16 09:44:48.993877;0,0;0,0;0,0;0,0;0,0;0,0
0;23494;-11024;0;14977;-31524;-4855;33,101167;2025-09-16 09:44:49.027670;0,0;0,0;0,0;0,0;0,0;0,0
0;23494;-11024;0;14977;-31524;-4855;33,131161;2025-09-16 09:44:49.057664;0,0;0,0;0,0;0,0;0,0;0,0
0;21261;-12258;0;15879;-30872;-5457;33,161158;2025-09-16 09:44:49.088680;0,0;0,0;0,0;0,0;0,0;0,0
0;-8262;-6036;0;24304;-24642;3554;33,191259;2025-09-16 09:44:49.117762;0,0;0,0;0,0;0,0;0,0;0,0
0;-8262;-6036;0;24304;-24642;3554;33,222979;2025-09-16 09:44:49.150481;0,0;0,0;0,0;0,0;0,0;0,0
0;-7145;-6036;0;24004;-24642;3554;33,253976;2025-09-16 09:44:49.181480;0,0;0,0;0,0;0,0;0,0;0,0
0;19586;-13081;0;15879;-30221;-5757;33,285072;2025-09-16 09:44:49.211575;0,0;0,0;0,0;0,0;0,0;0,0
0;-6587;-5625;0;23703;-25294;3554;33,320752;2025-09-16 09:44:49.247255;0,0;0,0;0,0;0,0;0,0;0,0
0;-7704;-6448;0;24004;-24642;3554;33,35074;2025-09-16 09:44:49.277243;0,0;0,0;0,0;0,0;0,0;0,0
0;-7704;-6448;0;24004;-24642;3554;33,380745;2025-09-16 09:44:49.307248;0,0;0,0;0,0;0,0;0,0;0,0
0;-7145;-6036;0;23703;-25294;3554;33,41153;2025-09-16 09:44:49.338033;0,0;0,0;0,0;0,0;0,0;0,0
0;16236;-15138;0;17081;-27616;-7260;33,44154;2025-09-16 09:44:49.368043;0,0;0,0;0,0;0,0;0,0;0,0
0;16236;-15138;0;17081;-27616;-7260;33,472532;2025-09-16 09:44:49.400045;0,0;0,0;0,0;0,0;0,0;0,0
0;15120;-15549;0;17382;-26313;-7561;33,504305;2025-09-16 09:44:49.430808;0,0;0,0;0,0;0,0;0,0;0,0
0;-7145;-6036;0;24304;-23340;2952;33,535318;2025-09-16 09:44:49.462818;0,0;0,0;0,0;0,0;0,0;0,0
0;-7145;-6036;0;24304;-23340;2952;33,566313;2025-09-16 09:44:49.492816;0,0;0,0;0,0;0,0;0,0;0,0
0;14003;-15960;0;17682;-25662;-8162;33,601112;2025-09-16 09:44:49.527615;0,0;0,0;0,0;0,0;0,0;0,0
0;14003;-15960;0;17682;-25662;-8162;33,631108;2025-09-16 09:44:49.557611;0,0;0,0;0,0;0,0;0,0;0,0
0;12887;-16783;0;17983;-25662;-8162;33,661105;2025-09-16 09:44:49.588612;0,0;0,0;0,0;0,0;0,0;0,0
0;-6587;-6036;0;24304;-23340;2652;33,69122;2025-09-16 09:44:49.618717;0,0;0,0;0,0;0,0;0,0;0,0
